YEAR T1,TEAM T1,SEED T1,KADJ O T1,KADJ D T1,KADJ EM T1,BARTHAG T1,WIN% T1,EXP T1,TALENT T1,ELITE SOS T1,KADJ T T1,BADJ T T1,TOV% T1,TOV%D T1,OREB% T1,DREB% T1,3PTR T1,3PT% T1,YEAR T2,TEAM T2,SEED T2,KADJ O T2,KADJ D T2,KADJ EM T2,BARTHAG T2,WIN% T2,EXP T2,TALENT T2,ELITE SOS T2,KADJ T T2,BADJ T T2,TOV% T2,TOV%D T2,OREB% T2,DREB% T2,3PTR T2,3PT% T2,WINNER
2025,Auburn,1,128.505,93.4663,35.0385,0.976,84.84848,2.573,34.433,45.564,67.6684,67.776,13.4,17.4,34.3,69.7,40.6,36.8,2025,Alabama St.,16,101.454,110.689,-9.235,0.27,54.54545,2.346,4.049,11.608,67.824,67.626,13.2,18.6,28.3,68.9,42.9,32.9,0
2025,Alabama St.,16,101.454,110.689,-9.235,0.27,54.54545,2.346,4.049,11.608,67.824,67.626,13.2,18.6,28.3,68.9,42.9,32.9,2025,Auburn,1,128.505,93.4663,35.0385,0.976,84.84848,2.573,34.433,45.564,67.6684,67.776,13.4,17.4,34.3,69.7,40.6,36.8,1
2025,Louisville,8,118.177,95.5301,22.6465,0.929,79.41176,2.555,20.225,29.98,68.826,68.807,16.5,18.6,32.2,72.8,48.1,33.0,2025,Creighton,9,116.968,98.2653,18.7025,0.885,70.58824,1.954,59.745,31.577,67.1073,67.135,18.1,11.7,26.9,72.8,49.0,33.9,1
2025,Creighton,9,116.968,98.2653,18.7025,0.885,70.58824,1.954,59.745,31.577,67.1073,67.135,18.1,11.7,26.9,72.8,49.0,33.9,2025,Louisville,8,118.177,95.5301,22.6465,0.929,79.41176,2.555,20.225,29.98,68.826,68.807,16.5,18.6,32.2,72.8,48.1,33.0,0
2025,Michigan,5,116.787,94.9671,21.8201,0.907,73.52941,2.239,57.267,37.294,69.6043,69.422,19.8,16.0,33.2,70.2,42.5,33.4,2025,UC San Diego,12,115.29,96.5133,18.7768,0.859,87.5,2.447,14.091,12.106,65.7295,65.781,13.4,23.3,25.6,71.6,49.6,36.5,0
2025,UC San Diego,12,115.29,96.5133,18.7768,0.859,87.5,2.447,14.091,12.106,65.7295,65.781,13.4,23.3,25.6,71.6,49.6,36.5,2025,Michigan,5,116.787,94.9671,21.8201,0.907,73.52941,2.239,57.267,37.294,69.6043,69.422,19.8,16.0,33.2,70.2,42.5,33.4,1
2025,Texas A&M,4,116.281,92.2075,24.0735,0.924,68.75,2.764,69.423,39.956,66.2185,66.083,18.2,19.7,42.0,72.2,37.6,31.1,2025,Yale,13,114.444,103.508,10.9363,0.746,75.0,1.876,9.807,11.606,67.4019,67.208,14.4,16.1,33.2,74.2,32.0,38.5,0
2025,Yale,13,114.444,103.508,10.9363,0.746,75.0,1.876,9.807,11.606,67.4019,67.208,14.4,16.1,33.2,74.2,32.0,38.5,2025,Texas A&M,4,116.281,92.2075,24.0735,0.924,68.75,2.764,69.423,39.956,66.2185,66.083,18.2,19.7,42.0,72.2,37.6,31.1,1
2025,Mississippi,6,117.897,95.8241,22.0726,0.9,66.66667,2.701,56.397,41.324,68.1108,67.977,12.8,20.5,25.4,69.2,40.2,34.1,2025,North Carolina,11,118.913,99.3766,19.5367,0.881,62.85714,1.623,87.298,35.154,70.5124,70.562,15.1,15.2,29.2,72.9,37.0,35.3,0
2025,North Carolina,11,118.913,99.3766,19.5367,0.881,62.85714,1.623,87.298,35.154,70.5124,70.562,15.1,15.2,29.2,72.9,37.0,35.3,2025,Mississippi,6,117.897,95.8241,22.0726,0.9,66.66667,2.701,56.397,41.324,68.1108,67.977,12.8,20.5,25.4,69.2,40.2,34.1,1
2025,Iowa St.,3,119.483,92.4824,27.0002,0.948,72.72727,2.401,35.926,36.738,68.6373,68.54,16.9,21.8,32.2,71.6,36.9,35.8,2025,Lipscomb,14,112.711,103.225,9.48582,0.672,71.875,2.583,0.2,11.694,65.9466,66.081,14.4,15.9,24.0,73.5,47.4,36.7,0
2025,Lipscomb,14,112.711,103.225,9.48582,0.672,71.875,2.583,0.2,11.694,65.9466,66.081,14.4,15.9,24.0,73.5,47.4,36.7,2025,Iowa St.,3,119.483,92.4824,27.0002,0.948,72.72727,2.401,35.926,36.738,68.6373,68.54,16.9,21.8,32.2,71.6,36.9,35.8,1
