DATE,YEAR,TEAM T1,ML T1,SPREAD T1,TEAM T2,ML T2,SPREAD T2,TOTAL OU
310,2008,William&Mary,390.0,9.0,George Mason,-470.0,-9.0,119.0
310,2008,George Mason,-470.0,-9.0,William&Mary,390.0,9.0,119.0
310,2008,Middle Tennessee,575.0,11.5,South Alabama,-725.0,-11.5,131.0
310,2008,South Alabama,-725.0,-11.5,Middle Tennessee,575.0,11.5,131.0
310,2008,Western Kentucky,-505.0,-9.0,Little Rock,405.0,9.0,130.0
310,2008,Little Rock,405.0,9.0,Western Kentucky,-505.0,-9.0,130.0
310,2008,Gonzaga,-360.0,-7.5,San Diego,300.0,7.5,128.5
310,2008,San Diego,300.0,7.5,Gonzaga,-360.0,-7.5,128.5
310,2008,Rider,150.0,3.5,Siena,-170.0,-3.5,149.0
310,2008,Siena,-170.0,-3.5,Rider,150.0,3.5,149.0
310,2008,Elon,1200.0,16.5,Davidson,-2000.0,-16.5,127.5
310,2008,Davidson,-2000.0,-16.5,Elon,1200.0,16.5,127.5
311,2008,Penn,140.0,3.0,Princeton,-160.0,-3.0,129.5
311,2008,Princeton,-160.0,-3.0,Penn,140.0,3.0,129.5
311,2008,Cleveland St.,500.0,10.0,Butler,-625.0,-10.0,120.5
311,2008,Butler,-625.0,-10.0,Cleveland St.,500.0,10.0,120.5
311,2008,Middle Tennessee,370.0,9.0,Western Kentucky,-450.0,-9.0,134.5
311,2008,Western Kentucky,-450.0,-9.0,Middle Tennessee,370.0,9.0,134.5
311,2008,LouisianaTech,235.0,6.5,SanJoseState,-275.0,-6.5,133.0
311,2008,SanJoseState,-275.0,-6.5,LouisianaTech,235.0,6.5,133.0
311,2008,Weber St.,140.0,3.0,NorthernArizona,-160.0,-3.0,133.0
311,2008,NorthernArizona,-160.0,-3.0,Weber St.,140.0,3.0,133.0
311,2008,IdahoState,900.0,14.5,Portland St.,-1400.0,-14.5,131.0
311,2008,Portland St.,-1400.0,-14.5,IdahoState,900.0,14.5,131.0
311,2008,IUPUI,140.0,3.0,OralRoberts,-160.0,-3.0,129.0
311,2008,OralRoberts,-160.0,-3.0,IUPUI,140.0,3.0,129.0
312,2008,Syracuse,-150.0,-2.5,Villanova,130.0,2.5,146.5
312,2008,Villanova,130.0,2.5,Syracuse,-150.0,-2.5,146.5
312,2008,Providence,390.0,8.5,West Virginia,-470.0,-8.5,139.0
312,2008,West Virginia,-470.0,-8.5,Providence,390.0,8.5,139.0
312,2008,Cincinnati,360.0,8.5,Pittsburgh,-430.0,-8.5,128.0
312,2008,Pittsburgh,-430.0,-8.5,Cincinnati,360.0,8.5,128.0
312,2008,Seton Hall,550.0,11.0,Marquette,-700.0,-11.0,148.0
312,2008,Marquette,-700.0,-11.0,Seton Hall,550.0,11.0,148.0
312,2008,Saint Louis,215.0,5.5,Dayton,-255.0,-5.5,114.0
312,2008,Dayton,-255.0,-5.5,Saint Louis,215.0,5.5,114.0
312,2008,Fordham,285.0,7.0,Saint Joseph's,-335.0,-7.0,129.0
312,2008,Saint Joseph's,-335.0,-7.0,Fordham,285.0,7.0,129.0
312,2008,Duquesne,-350.0,-7.5,La Salle,290.0,7.5,161.5
312,2008,La Salle,290.0,7.5,Duquesne,-350.0,-7.5,161.5
312,2008,RhodeIsland,-145.0,-2.5,NCCharlotte,125.0,2.5,149.0
312,2008,NCCharlotte,125.0,2.5,RhodeIsland,-145.0,-2.5,149.0
312,2008,BallState,110.0,2.0,EasternMichigan,-130.0,-2.0,120.5
312,2008,EasternMichigan,-130.0,-2.0,BallState,110.0,2.0,120.5
312,2008,NoIllinois,235.0,6.5,CentralMichigan,-275.0,-6.5,145.5
312,2008,CentralMichigan,-275.0,-6.5,NoIllinois,235.0,6.5,145.5
312,2008,BowlingGreen,105.0,1.5,Toledo,-125.0,-1.5,124.5
312,2008,Toledo,-125.0,-1.5,BowlingGreen,105.0,1.5,124.5
312,2008,Buffalo,390.0,8.5,MiamiOhio,-470.0,-8.5,129.0
312,2008,MiamiOhio,-470.0,-8.5,Buffalo,390.0,8.5,129.0
312,2008,EastCarolina,550.0,10.5,Tulsa,-700.0,-10.5,136.5
312,2008,Tulsa,-700.0,-10.5,EastCarolina,550.0,10.5,136.5
312,2008,SMU,475.0,10.0,UTEP,-600.0,-10.0,141.5
312,2008,UTEP,-600.0,-10.0,SMU,475.0,10.0,141.5
312,2008,Tulane,135.0,3.0,Marshall,-155.0,-3.0,127.0
312,2008,Marshall,-155.0,-3.0,Tulane,135.0,3.0,127.0
312,2008,Rice,950.0,14.5,SoMississippi,-1500.0,-14.5,124.0
312,2008,SoMississippi,-1500.0,-14.5,Rice,950.0,14.5,124.0
312,2008,Colorado St.,250.0,7.0,Wyoming,-300.0,-7.0,138.5
312,2008,Wyoming,-300.0,-7.0,Colorado St.,250.0,7.0,138.5
312,2008,Long Beach St.,475.0,10.0,UC Irvine,-600.0,-10.0,127.5
312,2008,UC Irvine,-600.0,-10.0,Long Beach St.,475.0,10.0,127.5
312,2008,CalRiverside,150.0,3.5,CalPolySLO,-170.0,-3.5,122.5
312,2008,CalPolySLO,-170.0,-3.5,CalRiverside,150.0,3.5,122.5
312,2008,California,-135.0,-2.0,Washington,115.0,2.0,152.5
312,2008,Washington,115.0,2.0,California,-135.0,-2.0,152.5
